datetime,cgi,rat_name,bytes_down,ms_down,bytes_up,ms_up,app,ip,msisdn,lat,lon
2020-05-23 00:00:00+01:00,214086827568142,GERAN,417,22511.814510077817,922,49774.323688949036,Google,247.66.130.205,34281406744,40.589482,-3.587393
2020-05-23 00:00:00+01:00,214002678359141,UTRAN,122853,4.112285318267784,17,5.524731733594046E-4,Youtube,248.195.36.53,34386459837,40.420274,-3.706201
2020-05-23 00:00:00+01:00,214078135229837,GERAN,5348,919.7095398148,2680,460.8866055915602,DNS,144.210.251.33,34434567338,40.444139,-3.59308
2020-05-23 00:00:00+01:00,214010882203414,GERAN,2458,143.1480132144212,104,5.5616905052795875,Youtube,128.222.73.183,34560923723,40.288038,-3.728987
2020-05-23 00:00:00+01:00,214025991369753,GERAN,13538,17.231741680997672,2,0.002314383410247488,Youtube,153.115.144.205,34248401978,40.426173,-3.752991
2020-05-23 00:00:00+01:00,214045806223841,GERAN,9007,43.28185196965965,88,0.36429925547528713,XMPP,145.112.118.225,34266096337,40.394013,-3.759556
2020-05-23 00:00:00+01:00,214047635625196,GERAN,3699,731.2199380713099,261,51.59459417048173,DNS,221.50.56.134,34490556652,40.31471,-3.82197
2020-05-23 00:00:00+01:00,214032057793385,EUTRAN,55,0.06205133297921876,491,0.5539491725962984,Blogs,162.85.60.16,34277431513,40.504071,-3.62329
2020-05-23 00:00:00+01:00,214049322972115,GERAN,698,5.07742184527119E-4,703,5.11379306192786E-4,Youtube,167.95.79.66,34201903964,40.403063,-3.697406
2020-05-23 00:00:00+01:00,214001561397108,EUTRAN,46,0.011122651841451928,1728,0.3799396754023238,Youtube,213.6.236.229,34173632245,40.273664,-3.722504
2020-05-23 00:00:00+01:00,214066195868695,GERAN,386,2100.716073791397,433,2356.5027459887947,DNS,235.175.230.80,34579739393,40.361778,-3.844524
2020-05-23 00:00:00+01:00,214073299131376,GERAN,25,0.028372812869608854,117,0.1396815402811513,GoogleDrive,186.207.81.10,34286727299,40.502082,-3.715622
2020-05-23 00:00:00+01:00,214073960620997,EUTRAN,105494,0.8658041867264236,1063,0.008720148262582356,XMPP,9.238.132.66,34580324983,40.376018,-3.717173
2020-05-23 00:00:00+01:00,214008197093989,EUTRAN,7,1.409323563499815E-4,2521,0.052265771012078854,Youtube,114.62.77.163,34243994205,40.395935,-3.678089
2020-05-23 00:00:00+01:00,214095430323741,GERAN,656,0.40977463008103726,678,0.4115958506591752,GoogleAPIs,37.8.242.60,34188734723,40.451735,-3.736338
2020-05-23 00:00:00+01:00,214072930163733,EUTRAN,30,1.2156311779384669E-4,294,0.001160731705386407,Youtube,53.4.16.154,34141304098,40.477765,-3.689207
2020-05-23 00:00:00+01:00,214014390883598,UTRAN,703,0.004106541042656196,127,7.418644557856855E-4,Youtube,184.251.91.134,34470135151,40.418362,-3.657257
2020-05-23 00:00:00+01:00,214099843907415,GERAN,343,0.10690951575522925,3873,1.1967068049711065,QQ,197.63.115.151,34411604843,40.437993,-3.672266
2020-05-23 00:00:00+01:00,214042967675413,GERAN,65,2.903309266186004E-4,3925,0.01753152133812318,Google,189.125.255.59,34386308030,40.406107,-3.645192
2020-05-23 00:00:00+01:00,214049076346746,GERAN,22092,1321.8043346592106,305,23.700086538964708,XMPP,252.213.6.25,34595567601,40.412328,-3.694843
2020-05-23 00:00:00+01:00,214082806791952,GERAN,17,0.004131322157988258,59,0.014338118077723951,AccuWeather,22.233.237.9,34550257409,40.237522,-3.780048
2020-05-23 00:00:00+01:00,214083749736507,EUTRAN,161,0.13077869571904263,43,0.04500481431626973,Exchange,135.49.114.251,34222496495,40.328109,-3.719838
2020-05-23 00:00:00+01:00,214034261352915,UTRAN,82,3.2683262932951026E-4,5502,0.021929672275255677,ANDRDMKT,94.110.178.26,34317085641,40.345557,-3.762695
2020-05-23 00:00:00+01:00,214006774545976,GERAN,928,3.591984259243081,206,0.7748083359578264,Gmail,104.44.155.144,34435404104,40.370247,-3.761177
2020-05-23 00:00:00+01:00,214099234938880,EUTRAN,317,0.021278185825329046,20,0.0020005131972531585,Youtube,9.157.114.241,34261272008,40.430933,-3.710024
2020-05-23 00:00:00+01:00,214003995027867,UTRAN,2917,97.40180508559186,205,6.845173137657295,GoogleAPIs,188.68.32.40,34250057237,40.410379,-3.594301
2020-05-23 00:00:00+01:00,214059773551132,UTRAN,2423,2.1827885023493985,53,0.03421298593024135,XMPP,252.192.173.194,34510705768,40.386064,-3.747011
2020-05-23 00:00:00+01:00,214082195359228,UTRAN,1147,17.720745404117256,1975,30.51305333315744,Google,87.82.44.95,34284892948,40.323441,-3.735364
2020-05-23 00:00:00+01:00,214040909825078,EUTRAN,77,0.3799407262848294,12107,59.73951133935623,DNS,2.111.164.220,34378274309,40.452575,-3.636677
2020-05-23 00:00:00+01:00,214081140570371,EUTRAN,870,0.08283529209371256,873,0.0863899099919868,ANDRDMKT,235.104.30.150,34463806676,40.642175,-3.636611
2020-05-23 00:00:00+01:00,214072597182977,UTRAN,3846,0.18846794873054235,75,0.003568567572529835,Youtube,186.16.101.140,34506430228,40.368561,-3.694104
2020-05-23 00:00:00+01:00,214052091648776,EUTRAN,32,0.08931239413438707,26334,73.49851834796716,Google,167.37.202.109,34463116652,40.298588,-3.72559
2020-05-23 00:00:00+01:00,214037154598062,GERAN,189,43.204393201919544,51,9.600976267093232,DNS,214.156.99.58,34114433166,40.306921,-3.738884
2020-05-23 00:00:00+01:00,214036070869671,UTRAN,24714,1.8615496085435919,444,0.03510083829332823,Youtube,19.172.244.171,34402845730,40.322018,-3.73026
2020-05-23 00:00:00+01:00,214031472941637,UTRAN,294,0.04364182739337699,4773,0.7314019968836526,DNS,249.3.183.2,34154850221,40.466717,-3.641366
2020-05-23 00:00:00+01:00,214045210870926,GERAN,237,4.430826659681638,62,2.031525266889605,GoogleAPIs,43.106.60.195,34387922604,40.300602,-3.752439
2020-05-23 00:00:00+01:00,214015348557529,UTRAN,384,0.019784923268325743,388,0.019784923268325743,GooglePlay,131.85.35.215,34263565369,40.472841,-3.726896
2020-05-23 00:00:00+01:00,214097548536608,UTRAN,1,2.959111890202038E-4,1037,0.3681135191411335,Youtube,241.215.237.153,34492603647,40.304183,-3.795675
2020-05-23 00:00:00+01:00,214017672412132,UTRAN,5274,22.942051364216233,104,0.4022236732744914,Youtube,128.65.175.198,34574419327,40.456674,-3.671965
2020-05-23 00:00:00+01:00,214085823266731,GERAN,1280,3.45077621998947,401475,1146.1607072169622,GoogleAPIs,0.185.147.172,34176255419,40.3529,-3.688995
2020-05-23 00:00:00+01:00,214079781817471,EUTRAN,21,3.5592294516751223E-4,989,0.01774972252639724,DNS,125.1.199.32,34223184664,40.409822,-3.709727
2020-05-23 00:00:00+01:00,214064282374579,UTRAN,1757,0.5959782191484954,190,0.06753760913512523,DNS,68.47.77.187,34346356672,40.518102,-3.612773
2020-05-23 00:00:00+01:00,214082032414604,UTRAN,8719,4.830354903015561,336,0.20739343523909684,Facebook,241.31.182.120,34480504953,40.47985,-3.735815
2020-05-23 00:00:00+01:00,214095300151749,EUTRAN,7470,0.017923130680431058,2633,0.0063790569826295595,GooglePlay,66.83.107.3,34197036905,40.282626,-3.762564
2020-05-23 00:00:00+01:00,214042487589294,GERAN,8,0.07850143730977814,31,0.278323277734668,DNS,76.248.223.95,34169145897,40.394962,-3.681832
2020-05-23 00:00:00+01:00,214014978402087,EUTRAN,376,0.0015586043520298117,569,0.002335871796514652,GoogleAPIs,195.10.132.200,34125774965,40.40098,-3.7751
2020-05-23 00:00:00+01:00,214012008390513,EUTRAN,4245,33.87566937466926,271,2.1626163487715826,GoogleAPIs,123.72.60.203,34585096312,40.565301,-3.644869
2020-05-23 00:00:00+01:00,214082090859474,EUTRAN,3,0.011589545346344128,818,3.160082697769832,Apple,158.23.57.152,34439116213,40.394814,-3.777789
